,database,chunk_size,overlap,clean,embedding,chunks_processed,time_to_process,used_memory_mb,query_time
0,redis,100,0,True,nomic-embed-text,415,11.878754138946533,6.932044982910156,8.343250751495361
0,redis,100,0,False,nomic-embed-text,423,12.4615957736969,6.997314453125,10.611350059509277
0,redis,100,50,True,nomic-embed-text,637,18.458599090576172,8.054580688476562,9.710163831710815
0,redis,100,50,False,nomic-embed-text,669,20.05535125732422,8.231086730957031,10.910514831542969
0,redis,300,0,True,nomic-embed-text,303,8.629116773605347,6.507179260253906,10.684558868408203
0,redis,300,0,False,nomic-embed-text,305,8.99965214729309,6.548088073730469,9.230377912521362
0,redis,300,50,True,nomic-embed-text,315,9.654266834259033,6.606407165527344,10.828238725662231
0,redis,300,50,False,nomic-embed-text,317,8.605208158493042,6.63116455078125,10.649089097976685
0,redis,300,100,True,nomic-embed-text,329,8.965641975402832,6.694297790527344,10.545955896377563
0,redis,300,100,False,nomic-embed-text,332,9.471707105636597,6.761878967285156,10.965059041976929
0,redis,500,0,True,nomic-embed-text,290,9.18373703956604,6.461128234863281,10.500281810760498
0,redis,500,0,False,nomic-embed-text,290,7.95322322845459,6.5115966796875,10.819109916687012
0,redis,500,50,True,nomic-embed-text,292,7.9067230224609375,6.482383728027344,10.60908317565918
0,redis,500,50,False,nomic-embed-text,293,8.47127079963684,6.519905090332031,10.69274115562439
0,redis,500,100,True,nomic-embed-text,296,8.044470071792603,6.514457702636719,11.138324975967407
0,redis,500,100,False,nomic-embed-text,296,8.560548067092896,6.566886901855469,10.707324743270874
0,redis,1000,0,True,nomic-embed-text,278,7.4073710441589355,6.417182922363281,9.016626119613647
0,redis,1000,0,False,nomic-embed-text,278,6.905148029327393,6.467811584472656,8.611068964004517
0,redis,1000,50,True,nomic-embed-text,278,8.243436098098755,6.4344024658203125,9.760826826095581
0,redis,1000,50,False,nomic-embed-text,278,8.084523916244507,6.4508514404296875,9.974769115447998
0,redis,1000,100,True,nomic-embed-text,279,8.177706003189087,6.421104431152344,8.752020835876465
0,redis,1000,100,False,nomic-embed-text,280,6.45819091796875,6.475860595703125,10.25211215019226
0,chroma,100,0,True,nomic-embed-text,"(Collection(name=hnsw_index), 415)",17.22012710571289,6.475860595703125,8.222335815429688
0,chroma,100,0,False,nomic-embed-text,"(Collection(name=hnsw_index), 423)",14.803473949432373,6.475860595703125,7.6998748779296875
0,chroma,100,50,True,nomic-embed-text,"(Collection(name=hnsw_index), 637)",20.736971139907837,6.475860595703125,8.375114917755127
0,chroma,100,50,False,nomic-embed-text,"(Collection(name=hnsw_index), 669)",21.6609468460083,6.475860595703125,6.938353061676025
0,chroma,300,0,True,nomic-embed-text,"(Collection(name=hnsw_index), 303)",12.789091110229492,6.475860595703125,7.682276010513306
0,chroma,300,0,False,nomic-embed-text,"(Collection(name=hnsw_index), 305)",13.112779140472412,6.475860595703125,8.361593008041382
0,chroma,300,50,True,nomic-embed-text,"(Collection(name=hnsw_index), 315)",13.256046295166016,6.475860595703125,8.086911916732788
0,chroma,300,50,False,nomic-embed-text,"(Collection(name=hnsw_index), 317)",12.975414991378784,6.475860595703125,5.894086837768555
0,chroma,300,100,True,nomic-embed-text,"(Collection(name=hnsw_index), 329)",14.368515968322754,6.475860595703125,8.058903932571411
0,chroma,300,100,False,nomic-embed-text,"(Collection(name=hnsw_index), 332)",16.69682502746582,6.475860595703125,8.930398941040039
0,chroma,500,0,True,nomic-embed-text,"(Collection(name=hnsw_index), 290)",15.144320011138916,6.475860595703125,9.38928508758545
0,chroma,500,0,False,nomic-embed-text,"(Collection(name=hnsw_index), 290)",13.438105821609497,6.475860595703125,8.213995933532715
0,chroma,500,50,True,nomic-embed-text,"(Collection(name=hnsw_index), 292)",12.616047859191895,6.475860595703125,8.01882004737854
0,chroma,500,50,False,nomic-embed-text,"(Collection(name=hnsw_index), 293)",12.211007118225098,6.475860595703125,7.733522891998291
0,chroma,500,100,True,nomic-embed-text,"(Collection(name=hnsw_index), 296)",13.500962972640991,6.475860595703125,8.561081171035767
0,chroma,500,100,False,nomic-embed-text,"(Collection(name=hnsw_index), 296)",13.961575746536255,6.475860595703125,8.657808780670166
0,chroma,1000,0,True,nomic-embed-text,"(Collection(name=hnsw_index), 278)",13.068719148635864,6.475860595703125,8.440805912017822
0,chroma,1000,0,False,nomic-embed-text,"(Collection(name=hnsw_index), 278)",13.992696046829224,6.475860595703125,8.921869993209839
0,chroma,1000,50,True,nomic-embed-text,"(Collection(name=hnsw_index), 278)",12.289212942123413,6.475860595703125,7.977257966995239
0,chroma,1000,50,False,nomic-embed-text,"(Collection(name=hnsw_index), 278)",13.178262948989868,6.475860595703125,7.7615861892700195
0,chroma,1000,100,True,nomic-embed-text,"(Collection(name=hnsw_index), 279)",12.365302085876465,6.475860595703125,8.52493691444397
0,chroma,1000,100,False,nomic-embed-text,"(Collection(name=hnsw_index), 280)",13.052819013595581,6.475860595703125,8.334981203079224
